Task,UserAnswer,CorrectAnswer,Status,TimeTaken
$22 - $22,0.0,0,Correct,11.1
$72 - $72,0.0,0,Correct,5.99
$78 - $58,20.0,20,Correct,11.39
$62 - $57,5.0,5,Correct,12.71
$23 - $3,20.0,20,Correct,7.44
$9 - $4,5.0,5,Correct,12.59
$98 - $98,1.0,0,Incorrect,9.19
$1691 - $1686,5.0,5,Correct,13.91
$521 - $501,20.0,20,Correct,21.35
$3240 - $3220,20.0,20,Correct,9.77
$4850 - $4840,20.0,10,Incorrect,3.32
$2709 - $2708,1.0,1,Correct,91.22
$7897 - $7887,2.0,10,Incorrect,5.29
$7897 - $7887,2.0,10,Incorrect,11.06
$7897 - $7887,2.0,10,Incorrect,12.49
$6375 - $6275,100.0,100,Correct,86.0
$9614 - $9613,1.0,1,Correct,3.88
$398 - $393,1.0,5,Incorrect,57.48
$4876 - $4875,2.0,1,Incorrect,5.63
$707 - $657,47.0,50,Incorrect,50.67
$540 - $540,0.0,0,Correct,6.38
$419 - $414,5.0,5,Correct,5.87
$352 - $347,5.0,5,Correct,2.14
$352 - $347,5.0,5,Correct,4.95
$109 - $89,20.0,20,Correct,29.21
$266 - $166,100.0,100,Correct,5.87
$284 - $284,0.0,0,Correct,4.84
$295 - $195,100.0,100,Correct,6.96
$90 - $85,5.0,5,Correct,78.74
$183 - $83,100.0,100,Correct,24.77
$141 - $91,50.0,50,Correct,62.18
$122 - $22,100.0,100,Correct,139.54
$38 - $33,5.0,5,Correct,8.99
$70 - $50,20.0,20,Correct,6.17
$30 - $30,0.0,0,Correct,4.04
$30 - $30,0.0,0,Correct,7.98
$53 - $53,0.0,0,Correct,2.71
$53 - $33,20.0,20,Correct,3.84
$62 - $30,32.0,32,Correct,6.42
$123 - $86,27.0,37,Incorrect,50.39
$123 - $86,37.0,37,Correct,54.44
$96 - $88,8.0,8,Correct,11.9
$136 - $44,92.0,92,Correct,74.35
$94 - $93,1.0,1,Correct,5.44
$32 - $4,28.0,28,Correct,92.93
